billing_id,policy_id,customer_id,payment_number,due_date,payment_date,amount_due,amount_paid,payment_status,late_fee,total_amount,payment_method,is_autopay,transaction_id
BIL0000041,POL003357,c2114c1f-8845-48f4-a4df-db7b7c692057,3,2025-05-19,2025-05-21,283.83,283.83,Paid,0.0,283.83,Online Payment,False,745090b6-9b1f-4e56-b9b4-cfb2610b29da
BIL0000042,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,1,2023-04-17,2023-04-20,296.42,296.42,Paid,0.0,296.42,Bank Transfer,True,f2b06eaf-b1a5-4037-851c-cb415f2eaa47
BIL0000043,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,2,2023-05-17,2023-05-09,296.42,296.42,Paid,0.0,296.42,Bank Transfer,True,4dcee418-801e-4c91-bd91-0ab1badd9335
BIL0000044,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,3,2023-06-16,2023-06-17,296.42,296.42,Paid,0.0,296.42,Bank Transfer,True,e9d9c6ed-524f-480a-88fb-6e689dab8d84
BIL0000045,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,4,2023-07-16,2023-08-22,296.42,296.42,Overdue,29.64,326.06,Bank Transfer,True,435622b8-0a0c-4e13-a882-ae38274a0442
BIL0000046,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,5,2023-08-15,2023-09-20,296.42,296.42,Overdue,29.64,326.06,Bank Transfer,True,52c2271d-ce11-4e58-984a-18a0c3566a75
BIL0000047,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,6,2023-09-14,2023-10-02,296.42,296.42,Overdue,29.64,326.06,Bank Transfer,True,01b2fb2f-bc6a-4bf9-af3e-726352fec8c0
BIL0000048,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,7,2023-10-14,,296.42,0.0,Pending,0.0,296.42,,True,
BIL0000049,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,8,2023-11-13,2023-12-09,296.42,296.42,Overdue,29.64,326.06,Bank Transfer,True,8a56b655-49d1-42bc-8569-48276c61d8b7
BIL0000050,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,9,2023-12-13,2023-12-11,296.42,296.42,Paid,0.0,296.42,Bank Transfer,True,43febfdc-ad8d-4ed6-9f56-42b4781c70f7
BIL0000051,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,10,2024-01-12,2024-01-21,296.42,296.42,Late,14.82,311.24,Bank Transfer,True,d67acabb-94a3-4a9d-b8c5-b5db5ab228bb
BIL0000052,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,11,2024-02-11,2024-02-17,296.42,296.42,Paid,0.0,296.42,Bank Transfer,True,34f56e6e-191a-4d99-a4c6-176a7c7d7fbe
BIL0000053,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,12,2024-03-12,2024-03-08,296.42,296.42,Paid,0.0,296.42,Bank Transfer,True,7344e242-2d44-4992-a9da-bf6d144ff8c3
BIL0000054,POL000413,341e8673-7214-40e2-be09-2d0d1380d834,13,2024-04-11,2024-04-15,296.42,296.42,Late,14.82,311.24,Bank Transfer,True,1b4110cf-0350-4ae7-a293-53c70f4fbcab
BIL0000055,POL005536,11719553-2dea-40db-abad-b2ce8a264996,1,2023-08-08,2023-08-06,1277.58,1277.58,Paid,0.0,1277.58,Bank Transfer,False,9365c750-1a95-4482-827a-dbb8d03054d9
BIL0000056,POL005536,11719553-2dea-40db-abad-b2ce8a264996,2,2024-02-04,2024-02-03,1277.58,1277.58,Paid,0.0,1277.58,Bank Transfer,False,f225b4a3-db89-406c-aafa-dd42505db35c
BIL0000057,POL002086,697b55ea-9664-4c7b-9968-b2884105394e,1,2024-09-14,2024-09-24,1407.78,1407.78,Paid,0.0,1407.78,Check,False,9074667d-2615-4a31-96e6-1681aee494ea
BIL0000058,POL005016,5b71793a-5e05-4f53-9a3b-76cc2ba3aa00,1,2023-11-09,2023-12-12,2018.34,2018.34,Overdue,201.83,2220.17,Credit Card,True,8168e348-1779-4c8a-863c-6c9019149975
BIL0000059,POL005016,5b71793a-5e05-4f53-9a3b-76cc2ba3aa00,2,2024-05-07,2024-05-08,2018.34,2018.34,Paid,0.0,2018.34,Credit Card,True,b4468c5b-d640-4a77-a898-b512985fdab7
BIL0000060,POL005016,5b71793a-5e05-4f53-9a3b-76cc2ba3aa00,3,2024-11-03,,2018.34,0.0,Pending,0.0,2018.34,,True,
BIL0000061,POL006563,e5570c3d-001b-447e-978c-53a7a3ec1dd9,1,2023-01-17,2023-01-24,4701.25,4701.25,Late,235.06,4936.31,Credit Card,True,f0d97614-329a-4597-9c03-c9dee1e93a7a
BIL0000062,POL006563,e5570c3d-001b-447e-978c-53a7a3ec1dd9,2,2024-01-12,,4701.25,0.0,Failed,0.0,4701.25,,True,
BIL0000063,POL007159,7b2e93d8-63d3-46d7-80ac-cd0866f25599,1,2023-06-17,,4321.57,0.0,Failed,0.0,4321.57,,False,
BIL0000064,POL007159,7b2e93d8-63d3-46d7-80ac-cd0866f25599,2,2024-06-11,2024-06-04,4321.57,4321.57,Paid,0.0,4321.57,Check,False,5557abdf-6739-4514-8736-c10916193101
BIL0000065,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,1,2021-09-15,2021-09-23,317.15,317.15,Paid,0.0,317.15,Check,True,2a5b3ba6-7684-48be-bb5b-51adf71393d2
BIL0000066,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,2,2021-10-15,2021-10-18,317.15,317.15,Paid,0.0,317.15,Check,True,b545ea7a-06c2-4feb-984e-a3dbcc10446c
BIL0000067,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,3,2021-11-14,2021-11-14,317.15,317.15,Paid,0.0,317.15,Check,True,6f5162db-9a48-40ac-94d4-4da68f86213b
BIL0000068,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,4,2021-12-14,2021-12-31,317.15,317.15,Overdue,31.72,348.87,Check,True,af6256d8-2a3a-4eea-bcd7-ef8bb5f50eb4
BIL0000069,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,5,2022-01-13,2022-01-15,317.15,317.15,Late,15.86,333.01,Check,True,401b6752-8f93-4c24-ae7a-81df37b2d09f
BIL0000070,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,6,2022-02-12,2022-02-15,317.15,317.15,Paid,0.0,317.15,Check,True,4eae993a-9acf-4dbd-83eb-b79e2bbbac4f
BIL0000071,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,7,2022-03-14,2022-03-14,317.15,317.15,Paid,0.0,317.15,Check,True,2ed00d62-7a98-446b-8818-13003c144985
BIL0000072,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,8,2022-04-13,2022-04-11,317.15,317.15,Paid,0.0,317.15,Check,True,0f8b7794-1393-41f7-8d0e-89de27844097
BIL0000073,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,9,2022-05-13,,317.15,0.0,Pending,0.0,317.15,,True,
BIL0000074,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,10,2022-06-12,,317.15,0.0,Pending,0.0,317.15,,True,
BIL0000075,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,11,2022-07-12,2022-08-08,317.15,317.15,Overdue,31.72,348.87,Check,True,a6cc66c8-c889-4979-ad8b-eda7d0d7394b
BIL0000076,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,12,2022-08-11,2022-08-14,317.15,317.15,Paid,0.0,317.15,Check,True,03356a20-a89d-4318-9130-01a8ef18c244
BIL0000077,POL003864,af81dfc2-426c-4ba2-884e-b0e95e4b8824,13,2022-09-10,2022-09-07,317.15,317.15,Paid,0.0,317.15,Check,True,57c76324-6f94-48a1-981e-69d5cdf911fe
BIL0000078,POL004937,ce988762-2316-44d4-9317-3e5693b23858,1,2024-04-30,2024-05-05,2585.84,2585.84,Paid,0.0,2585.84,Online Payment,False,637b8ecd-ef52-4260-b845-a64ffd1015ae
BIL0000079,POL004937,ce988762-2316-44d4-9317-3e5693b23858,2,2025-04-25,2025-04-29,2585.84,2585.84,Paid,0.0,2585.84,Online Payment,False,c65ed244-c7d0-4dd3-9cf4-36707a73feb8
BIL0000080,POL004481,6660095f-33ee-4ce9-913e-e584553dea06,1,2022-04-22,2022-04-22,2100.45,2100.45,Paid,0.0,2100.45,Bank Transfer,False,ed984bf9-2eb0-40c6-8c7f-3e675aae6cec
BIL0000081,POL004481,6660095f-33ee-4ce9-913e-e584553dea06,2,2022-07-21,2022-07-23,2100.45,2100.45,Paid,0.0,2100.45,Bank Transfer,False,3bfc6959-c849-40b7-8800-b7dae4b0bfb0
BIL0000082,POL004481,6660095f-33ee-4ce9-913e-e584553dea06,3,2022-10-19,,2100.45,0.0,Pending,0.0,2100.45,,False,
BIL0000083,POL004481,6660095f-33ee-4ce9-913e-e584553dea06,4,2023-01-17,2023-01-10,2100.45,2100.45,Paid,0.0,2100.45,Bank Transfer,False,425dc895-d72c-4297-adee-3300bb2e9390
BIL0000084,POL004481,6660095f-33ee-4ce9-913e-e584553dea06,5,2023-04-17,2023-04-28,2100.45,2100.45,Late,105.02,2205.47,Bank Transfer,False,57b372af-2d57-4ac2-baf4-266561f7f0a1
BIL0000085,POL004066,5be95fca-bd4a-40bd-a64f-463218437f2d,1,2022-04-16,2022-04-15,1992.66,1992.66,Paid,0.0,1992.66,Bank Transfer,True,f11439bf-a596-401c-9e83-f8fe70069de4
BIL0000086,POL004066,5be95fca-bd4a-40bd-a64f-463218437f2d,2,2022-10-13,2022-10-16,1992.66,1992.66,Paid,0.0,1992.66,Bank Transfer,True,b3e9d8cc-e116-4343-8c7c-4341a6ab746e
BIL0000087,POL004066,5be95fca-bd4a-40bd-a64f-463218437f2d,3,2023-04-11,2023-04-14,1992.66,1992.66,Paid,0.0,1992.66,Bank Transfer,True,8aaf49c4-f416-499d-b9a2-969668505df7
BIL0000088,POL002446,f46f6b23-5816-4ab7-bcf1-2f44fa11fb8b,1,2024-09-16,2024-09-25,475.68,475.68,Late,23.78,499.46000000000004,Online Payment,True,327ea04f-2123-40d1-a040-237c7f362f09
BIL0000089,POL002446,f46f6b23-5816-4ab7-bcf1-2f44fa11fb8b,2,2025-03-15,2025-03-23,475.68,475.68,Late,23.78,499.46000000000004,Online Payment,True,2d1a95d9-1137-4987-90d6-4096afa57c3e
BIL0000090,POL003627,1ab212e8-ed8d-4d63-ba9c-21e7c3b0223e,1,2021-12-14,2021-12-18,620.92,620.92,Paid,0.0,620.92,Check,False,25c24f7c-3faf-4fe1-8cd0-78c990396c0d
BIL0000091,POL003627,1ab212e8-ed8d-4d63-ba9c-21e7c3b0223e,2,2022-01-13,2022-01-13,620.92,620.92,Paid,0.0,620.92,Check,False,43a14312-8936-4953-bc5a-0960bbff28f4
BIL0000092,POL003627,1ab212e8-ed8d-4d63-ba9c-21e7c3b0223e,3,2022-02-12,2022-02-15,620.92,620.92,Paid,0.0,620.92,Check,False,1febae2d-fd1c-48dd-99cd-078fc08f0053
BIL0000093,POL003627,1ab212e8-ed8d-4d63-ba9c-21e7c3b0223e,4,2022-03-14,2022-03-14,620.92,620.92,Paid,0.0,620.92,Check,False,d89d1d67-3d25-4cad-9410-1955e8b95b95
BIL0000094,POL003627,1ab212e8-ed8d-4d63-ba9c-21e7c3b0223e,5,2022-04-13,2022-04-19,620.92,620.92,Paid,0.0,620.92,Check,False,11d27ede-9ace-487d-9d79-47d250b0fb94
BIL0000095,POL003627,1ab212e8-ed8d-4d63-ba9c-21e7c3b0223e,6,2022-05-13,,620.92,0.0,Pending,0.0,620.92,,False,
BIL0000096,POL003627,1ab212e8-ed8d-4d63-ba9c-21e7c3b0223e,7,2022-06-12,,620.92,0.0,Pending,0.0,620.92,,False,
BIL0000097,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,1,2020-10-19,2020-10-15,341.42,341.42,Paid,0.0,341.42,Online Payment,True,a9e9a825-5c0a-48d4-8272-2d939622dea2
BIL0000098,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,2,2020-11-18,2020-11-18,341.42,341.42,Paid,0.0,341.42,Online Payment,True,3ac9ad8f-c1e6-4ea6-8fdb-654a4cf4ee1f
BIL0000099,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,3,2020-12-18,2020-12-16,341.42,341.42,Paid,0.0,341.42,Online Payment,True,8789217c-7389-417b-8fd3-d40722b1f222
BIL0000100,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,4,2021-01-17,2021-01-18,341.42,341.42,Paid,0.0,341.42,Online Payment,True,8b7f5140-622e-42f1-831d-9301081c3e97
BIL0000101,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,5,2021-02-16,2021-02-15,341.42,341.42,Paid,0.0,341.42,Online Payment,True,fe747f0f-81e4-449a-97b7-9f518ed59b55
BIL0000102,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,6,2021-03-18,2021-03-17,341.42,341.42,Paid,0.0,341.42,Online Payment,True,d48cdb69-681d-42d0-9e3f-fa1878a82022
BIL0000103,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,7,2021-04-17,2021-04-14,341.42,341.42,Paid,0.0,341.42,Online Payment,True,089bca15-56b4-4e49-99a4-163d176c0fe7
BIL0000104,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,8,2021-05-17,2021-05-15,341.42,341.42,Paid,0.0,341.42,Online Payment,True,e4ce37c2-47f8-4f3f-a744-104735bcb02b
BIL0000105,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,9,2021-06-16,2021-06-16,341.42,341.42,Paid,0.0,341.42,Online Payment,True,10c65647-ebeb-4fea-a39e-2d4b21aaf31d
BIL0000106,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,10,2021-07-16,2021-07-06,341.42,341.42,Paid,0.0,341.42,Online Payment,True,40993295-acbc-46f9-ac15-93d9bdb06d8c
BIL0000107,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,11,2021-08-15,2021-08-04,341.42,341.42,Paid,0.0,341.42,Online Payment,True,046996c9-812b-4e7d-8d40-8defe8a15e2b
BIL0000108,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,12,2021-09-14,2021-09-14,341.42,341.42,Paid,0.0,341.42,Online Payment,True,9d1a522d-d370-43e9-a4b9-5b4edbaf78cb
BIL0000109,POL000648,1d8aaf4f-ae9f-410f-b444-26d4fb4c5aa2,13,2021-10-14,,341.42,0.0,Pending,0.0,341.42,,True,
BIL0000110,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,1,2023-12-21,2023-12-21,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,d6ee7d75-2ad5-4ea8-b611-f15a4e20b621
BIL0000111,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,2,2024-01-20,2024-01-19,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,4dbbfcad-063e-4a03-b9d2-7bc0e8ca1334
BIL0000112,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,3,2024-02-19,2024-03-08,163.84,163.84,Overdue,16.38,180.22,Bank Transfer,True,b5d5ddaa-3dd7-4990-8b18-b55098dd6e34
BIL0000113,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,4,2024-03-20,2024-03-17,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,39af23b6-9950-4ae6-9a76-88df92ead98e
BIL0000114,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,5,2024-04-19,2024-04-26,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,c3beb2b5-5da8-4d4d-bffe-cedd1410359e
BIL0000115,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,6,2024-05-19,2024-05-23,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,8d39d637-bd11-477a-abf5-4c517ebe03e7
BIL0000116,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,7,2024-06-18,2024-06-11,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,7aae3d14-a61a-4f58-918a-3a39026ef976
BIL0000117,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,8,2024-07-18,2024-07-17,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,54fb19f5-b14d-4a54-b7e7-79d0b4cae7a5
BIL0000118,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,9,2024-08-17,2024-08-24,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,437603c8-27ec-4601-84fd-4b6cb4b93c86
BIL0000119,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,10,2024-09-16,2024-09-13,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,4a8126cd-7d38-4f56-b91d-ecf7a5d84189
BIL0000120,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,11,2024-10-16,2024-10-16,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,ede47a42-bd8d-47fa-910a-631bbb7e9b14
BIL0000121,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,12,2024-11-15,,163.84,0.0,Failed,0.0,163.84,,True,
BIL0000122,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,13,2024-12-15,2024-12-13,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,5d87da14-3acd-4e36-91d6-62160d3ad66c
BIL0000123,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,14,2025-01-14,2025-01-19,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,303fccc2-4e9f-4b34-8a70-348f05823e5e
BIL0000124,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,15,2025-02-13,2025-02-09,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,fa2016cd-92fa-45fd-8c9e-04707e0789a7
BIL0000125,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,16,2025-03-15,2025-03-01,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,6d05c85a-f16a-43c3-8b72-16a01e0013ff
BIL0000126,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,17,2025-04-14,2025-04-20,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,63b3807d-c45c-40e0-9090-f239d0133de8
BIL0000127,POL001242,77f5f5c0-629d-4553-89e5-53f856302564,18,2025-05-14,2025-05-16,163.84,163.84,Paid,0.0,163.84,Bank Transfer,True,0cbf1be1-754c-43c8-8560-b1620f181105
