policy_id,customer_id,agent_id,policy_type,policy_subtype,effective_date,expiration_date,renewal_date,policy_term_years,annual_premium,monthly_premium,payment_frequency,payment_method,coverage_level,policy_status,underwriting_grade,underwriting_score,is_loyalty_member,bundle_discount,discount_percentage,total_discount_amount,net_premium,auto_renewal,last_modified_date,policy_notes
POL000011,97fbcb34-9fb8-40f2-8e58-0b78308c3360,AG0122,Umbrella,Extended,2021-04-30,2022-04-30,2026-04-30,1.0,1380.63,115.05,Quarterly,Credit Card,76,Active,A+,76,False,False,0,0.0,1380.63,True,2023-01-08,
POL000012,51754860-28df-4648-a8a2-591508a87d88,AG0082,Home,Premium,2021-06-07,2022-06-07,2025-06-06,1.0,4550.87,379.24,Annual,Online Payment,100,Renewed,C+,102,True,False,10,455.09,4095.78,True,2022-08-27,
POL000013,ee7ab136-0a4b-4a0c-8b4c-d079ac275eb7,AG0022,Auto,Comprehensive,2021-03-03,2021-09-01,2025-09-01,0.5,2770.45,230.87,Monthly,Credit Card,65,Active,D,44,False,False,0,0.0,2770.45,False,2022-02-25,Watch such long international single should. Fine laugh he.
POL000014,29e2513a-1421-4401-8d1b-f99d929998db,AG0069,Renters,Premium,2022-10-07,2023-10-07,2025-10-06,1.0,756.28,63.02,Semi-Annual,Bank Transfer,83,Cancelled,B,74,True,True,20,151.26,605.02,True,2023-11-05,
POL000015,c7e092b0-695e-4979-9fa9-a225278ab177,AG0057,Umbrella,Standard,2025-05-12,2026-05-12,2026-05-12,1.0,1485.61,123.8,Monthly,Check,90,Active,D,75,False,False,0,0.0,1485.61,True,2025-05-22,
POL000016,0727fdf4-bd1a-43b9-af29-e461e144a17a,AG0068,Professional Liability,Medical,2023-01-29,2024-01-29,2026-01-28,1.0,5950.15,495.85,Annual,Credit Card,75,Active,C+,85,False,True,10,595.02,5355.14,True,2023-09-26,
POL000017,a6e884d3-7576-4be1-a102-96070468d347,AG0075,Health,Family,2023-10-24,2024-10-23,2025-10-23,1.0,9743.89,811.99,Semi-Annual,Online Payment,94,Active,C,55,False,True,15,1461.58,8282.31,True,2025-05-01,
POL000018,9d417c9b-6994-4d10-b133-c884fa332d15,AG0113,Health,Individual,2021-01-31,2022-01-31,2026-01-31,1.0,6913.01,576.08,Annual,Online Payment,62,Active,C+,70,False,False,0,0.0,6913.01,True,2021-07-06,Strategy character American entire both suddenly. News hour guy act shake across measure.
POL000019,fe50b82d-6230-4482-8758-1e5dabea714e,AG0067,Professional Liability,IT,2020-08-15,2021-08-15,2025-08-15,1.0,4701.22,391.77,Annual,Credit Card,76,Active,A,69,False,True,5,235.06,4466.16,True,2023-08-09,
POL000020,47c2410c-07a0-4e48-8a6c-70373580c5ca,AG0132,Professional Liability,Legal,2021-01-06,2022-01-06,2026-01-06,1.0,4730.77,394.23,Semi-Annual,Online Payment,81,Active,C+,83,False,False,0,0.0,4730.77,True,2025-02-09,Story quality seat occur let about nor. Painting nature painting leader young image.
POL000021,43bb1987-5f2d-4837-91f6-de2dbf2ba942,AG0014,Auto,Liability Only,2020-11-20,2021-11-20,2025-11-20,1.0,2281.06,190.09,Monthly,Bank Transfer,100,Active,C+,78,False,False,0,0.0,2281.06,False,2022-05-09,
POL000022,250490be-6adf-4463-b1c3-bb2d5c96ca05,AG0049,Health,Individual,2023-05-27,2024-05-26,2026-05-26,1.0,6789.08,565.76,Annual,Credit Card,62,Active,A+,70,False,True,15,1018.36,5770.72,True,2023-12-22,
POL000023,37979e60-46a3-41dd-b73b-adc012c38c86,AG0099,Auto,Third Party,2023-07-09,2024-01-07,2025-07-07,0.5,3169.85,264.15,Monthly,Bank Transfer,73,Active,A+,78,True,False,7,221.89,2947.96,False,2023-10-23,
POL000024,68469b69-fc79-4f7e-a652-beb7695c6257,AG0003,Home,Premium,2021-07-13,2022-07-13,2025-07-12,1.0,3865.42,322.12,Semi-Annual,Credit Card,80,Cancelled,C+,96,True,True,15,579.81,3285.61,True,2024-05-29,
POL000025,6c34c319-7490-4b2c-ac9d-ca5a576e5333,AG0070,Renters,Basic,2023-03-26,2024-03-25,2026-03-25,1.0,740.22,61.68,Annual,Credit Card,68,Active,A,76,False,False,0,0.0,740.22,False,2023-06-14,Mind whatever road unit production collection better. Put cell everyone.
POL000026,94f9d09a-a8c4-4068-a069-246fa6a2f09c,AG0066,Auto,Liability Only,2020-11-10,2021-11-10,2025-11-10,1.0,2728.74,227.4,Semi-Annual,Bank Transfer,100,Active,D,64,False,True,10,272.87,2455.87,True,2024-09-23,Peace break herself we. Wall end feeling without into upon shake.
POL000027,cb5ed366-2295-4576-b127-b52d16da225b,AG0020,Auto,Full Coverage,2023-03-12,2024-03-11,2026-03-11,1.0,2584.11,215.34,Quarterly,Online Payment,77,Active,B,60,False,False,0,0.0,2584.11,False,2024-02-12,
POL000028,e742fa81-4255-43e3-a4b0-4e692cc7cf92,AG0006,Auto,Comprehensive,2022-11-15,2023-05-16,2025-11-14,0.5,2060.44,171.7,Quarterly,Bank Transfer,76,Active,B,62,False,True,10,206.04,1854.4,False,2023-09-20,
POL000029,7bbbd019-a1e2-42ab-bde0-e751df1c3c3f,AG0130,Health,Family,2020-07-22,2021-07-22,2025-07-22,1.0,10622.01,885.17,Quarterly,Online Payment,90,Active,B+,73,True,True,7,743.54,9878.47,True,2025-01-21,
POL000030,47b07487-8773-4b0a-aca8-47e3578041cd,AG0088,Commercial,Business Interruption,2023-03-21,2024-03-20,2026-03-20,1.0,4692.26,391.02,Quarterly,Credit Card,60,Active,B+,82,True,False,7,328.46,4363.8,False,2023-05-15,Seem nation bank result consider. Beautiful tonight call effort or little any.
POL000031,b8abef05-df36-4a05-b0b5-bc68a450e619,AG0115,Home,Custom,2021-03-13,2022-03-13,2026-03-13,1.0,3623.16,301.93,Quarterly,Check,77,Active,A+,83,True,False,2,72.46,3550.7,False,2025-03-12,"Avoid investment baby front this. With figure option behind.
Election require quite others left."
POL000032,d3140266-639a-4624-8677-055067256b56,AG0147,Home,Standard,2023-01-21,2024-01-21,2026-01-20,1.0,3483.34,290.28,Semi-Annual,Online Payment,57,Active,D,76,False,True,10,348.33,3135.01,False,2024-06-08,Pretty support traditional hotel model reveal.
POL000033,0ae5c804-cf47-42af-b21c-75d70e0a93b0,AG0109,Commercial,Business Interruption,2022-12-15,2023-12-15,2025-12-14,1.0,8440.19,703.35,Semi-Annual,Bank Transfer,86,Active,C,66,False,True,10,844.02,7596.17,True,2024-10-14,Ask claim significant card debate. Past director drive still.
POL000034,4434339e-6210-49a9-bf98-6fb334635eb6,AG0146,Commercial,Property,2021-11-02,2022-11-02,2025-11-01,1.0,6871.25,572.6,Annual,Bank Transfer,56,Active,C,71,True,False,7,480.99,6390.26,True,2022-04-13,
POL000035,36392b37-4911-4532-b3b4-88d710584265,AG0068,Business Liability,General,2021-02-08,2022-02-08,2026-02-08,1.0,6804.86,567.07,Monthly,Bank Transfer,93,Active,B+,85,False,False,0,0.0,6804.86,True,2024-06-08,
POL000036,083503b1-16eb-4ca8-ade0-8d873863697c,AG0096,Health,Individual,2020-07-14,2021-07-14,2025-07-14,1.0,13208.15,1100.68,Annual,Bank Transfer,68,Active,A,56,True,True,7,924.57,12283.58,True,2024-02-14,"Hit hit Democrat which order partner.
At task health."
POL000037,17afca03-ef58-410b-bc77-9913ce3d2fab,AG0048,Home,Premium,2024-06-12,2024-12-11,2025-06-11,0.5,2488.83,207.4,Semi-Annual,Check,68,Active,A,66,False,False,0,0.0,2488.83,True,2024-07-03,
POL000038,d055d4ea-8be9-43aa-8ad7-d7627f5a5c89,AG0123,Umbrella,Extended,2020-09-30,2021-09-30,2025-09-30,1.0,1721.2,143.43,Quarterly,Bank Transfer,81,Renewed,A+,70,False,True,10,172.12,1549.08,False,2024-09-24,
POL000039,085abbc8-a26d-44e4-ae1b-a53b4d73a451,AG0090,Business Liability,Product,2023-09-13,2024-09-12,2025-09-12,1.0,5993.91,499.49,Annual,Bank Transfer,63,Active,C+,85,False,False,0,0.0,5993.91,True,2023-10-05,No should skin billion. Front wind ask onto store hundred in identify. Know idea real direction.
POL000040,2a2a1dd7-ca8b-4679-abee-6e2e3d62c4ca,AG0116,Umbrella,Standard,2022-03-05,2023-03-05,2026-03-04,1.0,1694.5,141.21,Semi-Annual,Online Payment,77,Active,B,77,False,True,15,254.18,1440.32,False,2023-11-07,
POL000041,b31dc01f-0bee-4457-87c4-1d828d5768ee,AG0081,Auto,Full Coverage,2024-11-21,2025-05-22,2025-11-20,0.5,2860.86,238.4,Semi-Annual,Online Payment,49,Active,D,42,False,True,5,143.04,2717.82,True,2025-02-05,Wonder much goal why have another produce. Particularly water choose.
POL000042,118c4878-12c9-4935-a27a-a800533a1a19,AG0146,Business Liability,General,2020-06-25,2021-06-25,2025-06-25,1.0,5601.36,466.78,Quarterly,Check,53,Active,A,66,False,False,0,0.0,5601.36,True,2020-07-30,
POL000043,b76d7524-2e3d-4c1c-a950-f1f78cb2a655,AG0111,Home,Basic,2023-08-31,2024-08-30,2025-08-30,1.0,3539.18,294.93,Annual,Credit Card,83,Renewed,C,43,False,False,5,176.96,3362.22,False,2024-08-16,
POL000044,efb55262-7d7d-4e92-8f81-16b608544dcf,AG0135,Renters,Custom,2021-12-03,2022-12-03,2025-12-02,1.0,1102.09,91.84,Monthly,Credit Card,98,Pending,C+,74,False,True,5,55.1,1046.99,True,2024-02-29,
POL000045,3e6ff5b9-29eb-4da1-a603-f177131fc9f6,AG0127,Professional Liability,Consulting,2020-06-22,2021-06-22,2025-06-22,1.0,4544.6,378.72,Monthly,Bank Transfer,95,Active,C,61,False,False,0,0.0,4544.6,False,2024-08-18,Lead better hope investment. Plant laugh fine far move staff parent. Station court how.
POL000046,0b73c050-f406-42f0-9d56-f5f596a6f10b,AG0087,Renters,Premium,2022-03-22,2023-03-22,2026-03-21,1.0,980.58,81.72,Quarterly,Check,82,Active,C+,73,False,True,10,98.06,882.52,True,2022-08-24,
POL000047,6cf42353-bf2f-46f4-9240-7844547dfb1c,AG0133,Commercial,Professional Liability,2020-08-17,2021-08-17,2025-08-17,1.0,5383.93,448.66,Semi-Annual,Credit Card,87,Active,B+,69,False,False,0,0.0,5383.93,True,2025-01-09,Their drive debate hit own financial local crime. Strategy camera entire be.
POL000048,eac42405-ffdf-456c-a385-e4ecf8c498ea,AG0016,Business Liability,Product,2025-05-25,2026-05-25,2026-05-25,1.0,5781.15,481.76,Semi-Annual,Credit Card,82,Active,B,85,False,False,0,0.0,5781.15,False,2025-05-28,Build collection never report win return. Sport as ten position.
POL000049,5943c526-a425-420d-955d-9591690879f1,AG0100,Commercial,Property,2020-12-10,2021-12-10,2025-12-10,1.0,8065.0,672.08,Quarterly,Online Payment,65,Active,A+,74,True,False,5,403.25,7661.75,False,2023-09-16,"Claim difference fast have. Save view line any.
Five of before concern. Over ahead usually recent."
POL000050,2d3c59c3-637f-4d75-bcd6-86f9204cd8f7,AG0113,Professional Liability,Medical,2020-09-19,2021-09-19,2025-09-19,1.0,3952.76,329.4,Quarterly,Online Payment,46,Active,B+,80,False,False,0,0.0,3952.76,False,2022-03-21,
POL000051,62fc5eb5-cd0e-4343-9e9f-1b98af72b5c4,AG0063,Professional Liability,IT,2021-03-14,2022-03-14,2026-03-14,1.0,5431.54,452.63,Annual,Bank Transfer,100,Active,C,57,True,False,7,380.21,5051.33,True,2021-07-28,
POL000052,ed83fc90-3357-4d63-9c52-ddf7a3be2b8f,AG0071,Business Liability,Professional,2021-05-20,2022-05-20,2026-05-20,1.0,5618.94,468.24,Quarterly,Check,73,Active,D,82,False,True,10,561.89,5057.05,False,2022-02-24,
POL000053,30677702-c719-45a4-936e-f3b050b1dcfd,AG0114,Auto,Full Coverage,2023-09-12,2024-09-11,2025-09-11,1.0,2961.01,246.75,Monthly,Online Payment,75,Active,D,73,False,False,0,0.0,2961.01,False,2025-03-25,
POL000054,210f3e54-d00b-43a4-a209-7e575d561ef1,AG0027,Auto,Comprehensive,2023-07-21,2024-01-19,2025-07-19,0.5,2129.95,177.5,Monthly,Check,69,Active,A,66,False,False,0,0.0,2129.95,True,2023-12-09,
POL000055,52eb0281-2fdb-4726-ba94-e021d963a226,AG0014,Professional Liability,IT,2022-08-27,2023-08-27,2025-08-26,1.0,4999.38,416.62,Quarterly,Check,73,Active,B+,72,False,False,0,0.0,4999.38,True,2024-01-31,
POL000056,682a0a05-6183-47ec-bab2-faffbfce8494,AG0083,Home,Custom,2023-04-16,2024-04-15,2026-04-15,1.0,3580.15,298.35,Semi-Annual,Online Payment,57,Active,C,71,False,False,0,0.0,3580.15,False,2024-07-01,Whether usually fire. Improve film job traditional. Develop in simple effect explain second.
POL000057,89d6bb35-59cc-406b-b0d4-9724ee1b72bc,AG0048,Commercial,Property,2021-08-21,2022-08-21,2025-08-20,1.0,6788.53,565.71,Quarterly,Credit Card,98,Active,B+,66,True,False,7,475.2,6313.33,False,2021-09-24,Nice pass whose force responsibility series billion. Stop well vote sound especially learn public.
POL000058,fda87b81-34ad-4fd1-99d3-794ecd53954f,AG0072,Life,Variable,2022-04-03,2037-04-02,2037-04-02,15.0,1251.31,104.28,Monthly,Credit Card,56,Active,B,70,True,False,2,25.03,1226.28,False,2023-10-26,Congress skin five. Sometimes two approach general actually organization.
POL000059,1071f07e-6aca-4a79-9bc9-c939229fce60,AG0147,Auto,Comprehensive,2023-12-07,2024-12-06,2025-12-06,1.0,2241.28,186.77,Quarterly,Credit Card,64,Active,C,55,False,False,0,0.0,2241.28,True,2023-12-12,Into military training fish year likely we sell. Less claim camera line available will not.
POL000060,215642e3-fddb-4ae9-aaf6-3a17f93c1086,AG0030,Auto,Full Coverage,2023-09-28,2024-09-27,2025-09-27,1.0,2304.25,192.02,Annual,Online Payment,77,Active,D,63,False,False,0,0.0,2304.25,False,2025-05-02,"Tree rule everyone way. Local purpose player.
Cultural government impact common evening then."
POL000061,4333935b-2dc7-4f21-bcb5-58eb0d3d5e66,AG0027,Umbrella,Standard,2023-10-08,2024-10-07,2025-10-07,1.0,1157.92,96.49,Semi-Annual,Credit Card,65,Lapsed,A+,73,False,False,0,0.0,1157.92,True,2024-04-20,Expert near try red will perform bad west. Wear popular billion not possible say.
POL000062,f3e421a0-43f8-4338-9db5-231e2b952fd4,AG0106,Renters,Premium,2020-07-12,2021-07-12,2025-07-12,1.0,1148.06,95.67,Semi-Annual,Credit Card,52,Active,A,51,True,True,20,229.61,918.45,False,2024-05-03,Summer all easy sell dog fill.
POL000063,3ccee7df-fe53-4d0a-b087-91bcfba24204,AG0087,Renters,Premium,2024-10-10,2025-10-10,2025-10-10,1.0,1401.77,116.81,Annual,Credit Card,85,Active,B+,48,True,False,7,98.12,1303.65,True,2025-04-04,Which west others practice daughter view wish.
POL000064,cea7faf8-082e-45ba-9289-a9f798910139,AG0056,Life,Whole Life,2021-10-19,2026-10-19,2026-10-19,5.0,2048.83,170.74,Monthly,Check,60,Active,C,50,True,False,2,40.98,2007.85,True,2024-01-15,Scientist Democrat accept story while what. Glass action leave box.
POL000065,2364b323-360d-4dcc-8618-0f21dd2d3749,AG0103,Business Liability,Professional,2021-09-03,2022-09-03,2025-09-02,1.0,6901.26,575.1,Semi-Annual,Bank Transfer,67,Active,B+,77,True,False,2,138.03,6763.23,True,2024-08-08,
POL000066,a5f5ea89-0e16-45a3-9d84-c7562e5cd3a8,AG0129,Renters,Custom,2025-03-10,2026-03-10,2026-03-10,1.0,1240.46,103.37,Annual,Bank Transfer,76,Active,C+,100,True,True,7,86.83,1153.63,False,2025-05-28,"Make hold full find.
After author court option stage. President base area employee."
POL000067,a0fd38de-3388-4ab4-826e-1a2933ee97ba,AG0054,Life,Whole Life,2021-05-25,2046-05-25,2046-05-25,25.0,1967.14,163.93,Quarterly,Bank Transfer,91,Active,B+,60,True,True,17,334.41,1632.73,False,2022-09-16,
POL000068,84f99b8c-7df4-465e-b537-67025594274f,AG0105,Life,Universal,2023-06-25,2038-06-24,2038-06-24,15.0,1133.91,94.49,Annual,Check,57,Active,D,104,True,False,2,22.68,1111.23,False,2024-05-02,Teacher easy war important. Bring add ball act. Face people economic develop catch magazine.
POL000069,7b5519d4-df44-44e5-8949-24e68a2328c5,AG0051,Umbrella,Extended,2021-07-23,2022-07-23,2025-07-22,1.0,1230.85,102.57,Annual,Bank Transfer,90,Active,C+,79,False,True,10,123.08,1107.76,False,2024-12-07,Accept blue then senior several heavy argue child.
POL000070,6e7005fd-50af-4fe7-acc0-adf9fdfeeea6,AG0098,Renters,Custom,2020-07-12,2021-07-12,2025-07-12,1.0,1117.05,93.09,Semi-Annual,Online Payment,76,Active,A,75,False,False,0,0.0,1117.05,False,2024-06-09,Scene western computer however wait Mr. Ball might want behind away imagine.
POL000071,6b2825ea-3da2-401a-bb8f-4901df2e48b6,AG0043,Home,Standard,2020-11-17,2021-11-17,2025-11-17,1.0,3107.11,258.93,Annual,Credit Card,52,Active,B,73,False,False,0,0.0,3107.11,False,2023-09-20,Anything production face fear dark. Kid couple parent tax executive.
POL000072,e855b615-7b3a-4048-b674-c95ef42e9398,AG0071,Umbrella,Extended,2023-10-25,2024-10-24,2025-10-24,1.0,958.25,79.85,Annual,Bank Transfer,76,Active,B+,61,False,False,0,0.0,958.25,False,2025-04-09,Room standard avoid career fine effort. Skin now child long.
POL000073,d610e9f9-cda8-484d-a180-0c4a30373468,AG0082,Professional Liability,IT,2020-07-05,2021-01-03,2025-07-04,0.5,2725.53,227.13,Monthly,Online Payment,66,Active,C,90,True,False,7,190.79,2534.74,False,2021-05-15,
POL000074,fbc6a2ef-1373-4ed6-be2c-128e85a9bdfd,AG0047,Home,Standard,2023-07-21,2024-01-19,2025-07-19,0.5,4101.06,341.76,Semi-Annual,Credit Card,73,Active,C,96,True,False,7,287.07,3813.99,True,2023-09-09,
POL000075,200cfa39-14aa-47c3-9e9f-dfc62c6949c7,AG0064,Commercial,Property,2021-07-14,2022-07-14,2025-07-13,1.0,4637.22,386.44,Quarterly,Check,48,Active,A+,65,False,True,10,463.72,4173.5,False,2025-02-04,Away dark hard customer past. Result full then while hundred.
POL000076,857e3531-2db7-47b6-8afe-a93f204d56cc,AG0094,Renters,Premium,2023-06-27,2024-06-26,2025-06-26,1.0,611.76,50.98,Quarterly,Check,51,Pending,D,57,False,False,0,0.0,611.76,True,2025-02-27,
POL000077,d9fbd1d5-a0c7-4689-a982-9ec626d2187d,AG0013,Auto,Full Coverage,2020-12-31,2021-12-31,2025-12-31,1.0,1919.58,159.96,Quarterly,Check,62,Active,C,75,False,True,15,287.94,1631.64,True,2023-09-30,
POL000078,3813d384-79cd-42bd-86ed-0922aac27fbf,AG0134,Home,Basic,2021-11-22,2022-11-22,2025-11-21,1.0,3235.72,269.64,Annual,Online Payment,79,Active,C,63,False,False,0,0.0,3235.72,True,2024-06-13,
POL000079,29a31f82-481c-4803-ad03-4c20e5a02a83,AG0048,Umbrella,Extended,2024-11-20,2025-11-20,2025-11-20,1.0,804.61,67.05,Monthly,Credit Card,41,Pending,B,89,False,True,5,40.23,764.38,False,2025-02-22,
POL000080,8a4f651d-c7f0-4973-97a8-2e01d1135c3f,AG0061,Auto,Third Party,2021-06-19,2022-06-19,2025-06-18,1.0,3076.64,256.39,Quarterly,Credit Card,70,Cancelled,B,58,False,True,15,461.5,2615.14,True,2023-03-22,Throughout citizen summer nation. Involve door himself at past.
POL000081,534054ae-75c9-4ee1-a858-5d4f9b3a7ba3,AG0149,Business Liability,Professional,2022-09-09,2023-09-09,2025-09-08,1.0,4537.39,378.12,Annual,Bank Transfer,79,Active,A,74,False,False,0,0.0,4537.39,False,2024-08-29,
POL000082,925439aa-2a59-4ae4-9e9c-5537b83b7e03,AG0064,Umbrella,Extended,2023-03-05,2024-03-04,2026-03-04,1.0,1315.35,109.61,Annual,Bank Transfer,70,Active,D,73,True,True,22,289.38,1025.97,True,2024-10-10,View argue sit task real. Relationship three remain be fast bad remain culture.
POL000083,4fd04604-d68e-4663-8ec0-081613acbb82,AG0129,Commercial,General Liability,2023-06-06,2024-06-05,2025-06-05,1.0,5031.72,419.31,Monthly,Check,57,Active,C,81,False,True,15,754.76,4276.96,True,2024-04-05,
POL000084,2d7b9bb3-b07c-4cf6-a212-fc08e8e17899,AG0005,Professional Liability,Medical,2023-06-07,2024-06-06,2025-06-06,1.0,2762.62,230.22,Monthly,Check,60,Active,A,64,False,True,5,138.13,2624.49,False,2023-11-03,
POL000085,9ecdbf09-379e-4f42-b4ba-ad36d93b149f,AG0100,Umbrella,Standard,2023-07-04,2024-07-03,2025-07-03,1.0,1262.87,105.24,Semi-Annual,Bank Transfer,84,Active,D,86,True,False,7,88.4,1174.47,False,2023-11-05,Over those live sign catch. World rather carry chance game game. Sport left life modern teach.
POL000086,87bedbc3-3fff-4a66-8fe0-b3d18ce92bdf,AG0082,Life,Term,2023-07-31,2038-07-30,2038-07-30,15.0,2871.81,239.32,Quarterly,Bank Transfer,98,Active,A+,84,False,False,0,0.0,2871.81,True,2024-08-31,
POL000087,9e430d78-35ef-4f1a-adfa-6ebecd65480d,AG0087,Life,Variable,2025-01-28,2040-01-28,2040-01-28,15.0,2142.27,178.52,Monthly,Online Payment,70,Pending,D,53,False,False,0,0.0,2142.27,False,2025-04-07,School sort green help baby. Place game west seven.
POL000088,278cfa80-8e4e-4f59-aef9-4abf2bb9876c,AG0149,Commercial,Business Interruption,2022-12-05,2023-12-05,2025-12-04,1.0,7358.83,613.24,Quarterly,Bank Transfer,96,Active,D,88,False,False,0,0.0,7358.83,False,2024-12-30,
POL000089,191d8844-ce05-4b29-b5a4-bae8dc10f322,AG0123,Umbrella,Standard,2021-05-01,2022-05-01,2026-05-01,1.0,1169.43,97.45,Annual,Check,64,Active,C,83,True,True,12,140.33,1029.1,True,2021-10-06,
POL000090,a939f27b-934d-41ff-9f8d-8010d2b66fd7,AG0085,Health,Individual,2023-06-03,2024-06-02,2025-06-02,1.0,14557.58,1213.13,Semi-Annual,Online Payment,70,Lapsed,D,90,True,False,2,291.15,14266.43,False,2025-05-27,
POL000091,03a8ffce-4058-4bd0-85f9-876de6eb009f,AG0093,Professional Liability,IT,2024-11-22,2025-05-23,2025-11-21,0.5,4908.19,409.02,Annual,Online Payment,67,Active,C+,95,False,False,0,0.0,4908.19,False,2025-02-06,
POL000092,6ea099e0-faf4-4375-964d-a793cbf9f04f,AG0051,Renters,Custom,2020-12-04,2021-12-04,2025-12-04,1.0,951.55,79.3,Quarterly,Bank Transfer,86,Active,B+,93,False,False,0,0.0,951.55,False,2022-10-30,
POL000093,56b20cb4-68b8-4946-ac22-a458ea7bd4f2,AG0065,Commercial,Property,2023-05-07,2024-05-06,2026-05-06,1.0,7186.54,598.88,Semi-Annual,Bank Transfer,68,Renewed,B+,76,False,False,3,215.6,6970.94,False,2024-01-03,Dog represent like get news defense stand mean. Light government think do role.
POL000094,c317fcc8-1b9a-49c6-81fc-b36c07379efd,AG0047,Business Liability,Professional,2023-11-10,2024-11-09,2025-11-09,1.0,5638.84,469.9,Semi-Annual,Bank Transfer,60,Active,D,82,True,True,17,958.6,4680.24,False,2025-03-12,Science point night home. Group answer everything once relate while.
POL000095,2268973d-0856-47f2-9a91-fbe0dc4a1b4f,AG0066,Professional Liability,Medical,2024-07-07,2025-07-07,2025-07-07,1.0,5209.22,434.1,Monthly,Bank Transfer,88,Active,A+,100,False,True,15,781.38,4427.84,True,2024-09-12,
POL000096,d41cbc4c-1957-4a5e-b0bd-4c9bbb4b30b9,AG0061,Umbrella,Standard,2022-01-04,2023-01-04,2026-01-03,1.0,1649.1,137.42,Monthly,Bank Transfer,82,Active,A+,80,True,True,20,329.82,1319.28,True,2023-03-25,
POL000097,330c9e37-809a-42db-870a-1e9fe7e527b4,AG0017,Umbrella,Extended,2021-12-16,2022-12-16,2025-12-15,1.0,1117.11,93.09,Semi-Annual,Bank Transfer,67,Active,A+,78,False,False,0,0.0,1117.11,True,2023-07-05,
POL000098,d483153e-f302-410c-a184-f12c8227b069,AG0022,Renters,Basic,2022-01-23,2023-01-23,2026-01-22,1.0,1290.17,107.51,Semi-Annual,Online Payment,69,Active,D,73,True,False,2,25.8,1264.37,True,2024-07-23,
POL000099,bfb4fdb4-d60c-4260-8e1b-e58f11f71897,AG0009,Home,Custom,2025-02-19,2026-02-19,2026-02-19,1.0,4911.18,409.27,Quarterly,Bank Transfer,77,Active,C+,67,True,False,7,343.78,4567.4,False,2025-04-14,
POL000100,5e587f14-32d5-4309-b9d2-743c5034f874,AG0118,Professional Liability,Medical,2024-06-17,2025-06-17,2025-06-17,1.0,4541.88,378.49,Semi-Annual,Check,75,Active,C+,67,False,False,0,0.0,4541.88,True,2024-11-28,
